Date,Forecast,Forecast_Lower,Forecast_Upper
2025-03-14,168.12160698881644,162.42872592865885,173.7155423338991
2025-03-17,166.02582486767463,160.65037692687744,171.4345010666707
2025-03-18,166.0169555451521,160.51171732993456,171.85143624361416
2025-03-19,165.73935235177953,160.1658206410907,171.20510429841212
2025-03-20,164.4770343403606,158.2653677275139,169.4189739643602
2025-03-21,164.18465167995737,158.53008088940723,169.3257499119741
2025-03-24,162.0888858839233,156.35611065261057,167.74964641774167
2025-03-25,162.08002200310418,156.2817371714527,167.6047594639922
2025-03-26,161.80241887296202,156.04748480477028,167.5936219671101
2025-03-27,160.5401018830303,154.64923000609116,166.0722635480422
2025-03-28,160.24772024411465,154.83804227678021,165.76833409273766
2025-03-31,158.15195732285727,152.6682519263459,163.9655059773083
2025-04-01,158.30565220268295,152.86218791788002,163.73215990168876
2025-04-02,158.1906078331798,153.0844139275336,163.4231890343055
2025-04-03,157.09084864562882,151.356368409601,162.35408362504873
2025-04-04,156.9610248090944,151.45129426023914,162.81915413864633
2025-04-07,156.22004824334826,150.56724668154175,161.34963660845673
2025-04-08,156.66278077262677,150.68311946985804,162.08401787872967
2025-04-09,156.83677405258013,151.5148860555585,162.22296199406233
2025-04-10,156.2509840755745,150.85654943331664,161.88179270813094
2025-04-11,156.63512944958563,151.0431584983419,162.10987960715184
2025-04-14,156.56894756710457,151.13806224449692,162.06994117932408
2025-04-15,157.2939329764038,152.06641531791524,162.91466981391778
2025-04-16,157.7501791363783,152.03147726116688,163.00936088432664
2025-04-17,157.22171047830255,151.16205278407983,162.68490892081005
2025-04-21,157.76901361346847,152.55210350812985,163.34688785457914
2025-04-22,158.4940126147443,152.96459717105307,164.22543985031814
2025-04-23,158.95027236669634,153.54501658645086,164.26082265014892
2025-04-24,158.42181730059863,152.93663017533385,163.9616707943188
2025-04-25,158.86329758551798,153.30656154472805,163.94038310988685
2025-04-28,158.96912043576395,153.30461389760293,164.8103101240189
2025-04-29,159.69411943704034,154.14215387750605,164.71598441802638
2025-04-30,160.15037918899364,154.62525459678437,165.40229641973707
2025-05-01,159.62192412289468,154.27580825338953,164.8982174496798
2025-05-02,160.06340440781437,155.1782583750103,165.76460622628466
2025-05-05,160.16922725806137,154.5623981016957,165.5494909174183
2025-05-06,160.89422625933645,155.3633681189983,166.59912185505976
2025-05-07,161.3504860112889,155.84310077961274,166.69411068217437
2025-05-08,160.82203094519133,155.29042029160806,166.39287258242996
2025-05-09,161.26351123011074,155.69158699581462,167.12650876252323
2025-05-12,161.36933408035873,155.80668435481206,167.01498710730058
2025-05-13,162.09433308163415,156.65885399021317,167.7687872669259
2025-05-14,162.55059283358514,157.13611857257777,168.03833785002215
2025-05-15,162.02213776748764,156.11993538373946,167.58987607377975
2025-05-16,162.4636180524065,156.58512864451396,168.08704421857553
2025-05-17,161.52821499092295,156.08556741670225,167.32977892125743
2025-05-18,161.69965750394846,156.0813906782241,167.1876406369395
2025-05-19,162.5694409026521,156.94075960410188,168.43214102196416
2025-05-20,163.2944399039274,157.61948787203545,168.643604137307
2025-05-21,163.75069965588034,158.37131370658147,169.5214532974656
2025-05-22,163.2222445897835,157.73834312184712,169.01464663455798
2025-05-23,163.66372487470224,158.06936575000512,168.94122930230097
2025-05-24,162.7283218132218,157.33387901515155,168.77810698776057
2025-05-25,162.89976432624448,157.21086247946377,168.37611047395163
2025-05-26,163.7695477249476,158.4110190848607,169.3832070020184
2025-05-27,164.49454672622514,158.85910637934637,170.28336556370468
2025-05-28,164.95080647817662,158.98683238469644,170.7759928112887
2025-05-29,164.42235141207982,158.43046770525137,169.9354658931879
2025-05-30,164.86383169699928,159.24179967860394,170.67552943126296
2025-05-31,163.92842863551783,158.28004518906178,169.58271152594784
2025-06-01,164.0998711485423,158.56614797719723,169.92758815268326
2025-06-02,164.9696545472469,159.7388309036699,170.88294342025196
2025-06-03,165.69465354851957,159.44932471905548,171.72054941888794
2025-06-04,166.150913300474,160.29423250898105,172.33276851513043
2025-06-05,165.6224582343759,159.86445028071648,171.44868108029237
2025-06-06,166.06393851929562,160.001828782337,172.01796275037418
2025-06-07,165.12853545781252,159.22343758324047,171.8001330251643
2025-06-08,165.29997797083834,158.8953376434147,171.61682912441577
2025-06-09,166.1697613695424,160.0591357381992,172.91656890510905
2025-06-10,166.89476037081727,160.9086783075223,173.5853810771376
2025-06-11,167.35102012277028,161.03998547468825,174.29545349235119
2025-06-12,166.8225650566722,160.41939772342292,173.7571313780369
2025-06-13,167.26404534159138,160.79596571264057,174.2026122174241
2025-06-14,166.3286422801099,159.53532871212144,173.52331400743418
2025-06-15,166.50008479313323,159.5526442207734,173.59110583534465
